Exchange Rxn,igg_formation,igg_hc,igg_lc,DM_igg[g]
EX_met_L(e),-21.55483055,-16.85058212,-21.00032043,-8.304737091
EX_leu_L(e),-20.13520432,-20.46927643,-15.81911755,-10.42608261
EX_chol(e),-23.06950378,-21.44428825,-15.25889874,-10.48564053
EX_o2(e),-22.03465652,-22.27285004,-21.66770744,-13.50377083
EX_arg_L(e),-18.58504868,-9.338561058,-22.91124153,-14.60818672
EX_ser_L(e),-18.66612053,-18.00676155,-11.03372288,-16.74649429
EX_pro_L(e),-25.5796299,-17.06755066,-13.80424786,-17.30696297
EX_tyr_L(e),-18.47743034,-11.86990356,-15.72382355,-17.52214622
EX_phe_L(e),-11.5103035,-16.45296478,-27.79987526,-18.71604156
EX_fe2(e),-19.99963379,-17.84293938,-14.81157398,-19.30975342
EX_lys_L(e),-19.71253967,-19.8715992,-18.49480438,-19.54016495
EX_val_L(e),-13.95855427,-20.60046768,-18.65909958,-20.13986397
EX_cys_L(e),-16.82940102,-22.48837852,-9.481326103,-20.82244492
EX_gln_L(e),-9.822813034,-15.00414085,-15.48595333,-20.95724678
EX_ile_L(e),-13.31459236,-14.33504772,-5.957713604,-21.16860199
EX_pydxn(e),-15.63251209,-26.11641502,-18.43297768,-21.49677849
EX_thr_L(e),-23.18590736,-23.69534874,-21.572752,-21.56272316
EX_fol(e),-20.84468651,-30.00884628,-13.43671227,-23.085989
EX_his_L(e),-17.4277668,-15.31976604,-20.05235672,-23.84898949
EX_hxan(e),-9.226536751,-18.62839127,-13.51349449,-23.91611671
EX_trp_L(e),-13.88022709,-16.7432251,-20.40450287,-25.20640564
EX_hco3(e),-17.2918663,-27.42977524,-25.39838791,-25.22895241
EX_asn_L(e),-20.45246696,-11.70901489,-25.06777573,-25.56642723
EX_glc(e),-18.65927315,-19.62451935,-18.25354767,-26.29706764
EX_asp_L(e),-13.67327881,-22.8206234,-19.15742874,-26.78807449
